restaurant_name,rating,average_price,average_delivery_time,south_indian_or_not,north_indian_or_not,fast_food_or_not,street_food,biryani_or_not,bakery_or_not,location,norm_rating,norm_price,norm_delivery_time,Score
4 Ways Cafe & Pizza,4.0,200,41,0,0,1,0,0,0,Chandigarh,0.6399999999999999,0.759493670886076,0.8097826086956522,0.7148335167859109
40 Indian Thalis(PAU),3.8,150,34,0,1,0,0,0,0,Ludhiana,0.5599999999999998,0.8227848101265822,0.8478260869565217,0.6989047881122729
47 South Tangra Road,4.2,100,52,0,0,0,0,0,0,Kolkata,0.72,0.8860759493670886,0.75,0.7622151898734177
48 Deg.C,4.3,250,38,0,0,1,0,0,0,Nagpur,0.7599999999999998,0.6962025316455696,0.8260869565217391,0.7670665932856355
4M Biryani House,3.1,200,26,0,0,0,0,1,0,Vijayawada,0.28,0.759493670886076,0.8913043478260869,0.5592900385250412
4M Biryani House,4.2,350,49,0,1,0,0,1,0,Hyderabad,0.72,0.5696202531645569,0.7663043478260869,0.7038153549807373
4M Kitchen,3.7,200,43,0,1,0,0,0,0,Surat,0.52,0.759493670886076,0.7989130434782609,0.6515726472206935
4th Street Dining Hall,4.3,100,46,0,0,0,0,0,0,Kolkata,0.7599999999999998,0.8860759493670886,0.782608695652174,0.7919977985690698
5 Flavours Restaurant & Cafe,3.5,200,22,0,1,1,0,0,0,Ajmer,0.43999999999999995,0.759493670886076,0.9130434782608696,0.6458117776554761
5 Heads Resto Cafe,3.2,250,29,0,0,1,0,0,1,Visakhapatnam,0.32000000000000006,0.6962025316455696,0.875,0.561740506329114
5 Shots Bistro Cafe,3.1,100,37,0,0,1,0,0,0,Coimbatore,0.28,0.8860759493670886,0.8315217391304348,0.5666717116125481
5 Shots The Juice Bar,4.1,100,27,0,0,1,0,0,0,Salem,0.6799999999999997,0.8860759493670886,0.8858695652173914,0.782976059438635
5 Spice,3.8,100,39,0,0,0,0,0,0,Mumbai,0.5599999999999998,0.8860759493670886,0.8206521739130435,0.7034108420473306
5 Star Canteen,4.0,150,24,0,1,0,0,0,0,Goa,0.6399999999999999,0.8227848101265822,0.9021739130434783,0.7552091359383599
5 Star Diamond Classic Pizza,4.1,250,34,0,0,1,0,0,0,Saharanpur,0.6799999999999997,0.6962025316455696,0.8478260869565217,0.7335883324160702
5 Star Momos,3.7,150,41,0,0,0,0,0,0,Guwahati,0.52,0.8227848101265822,0.8097826086956522,0.6674917446340121
5 Star Pizza,3.6,350,42,0,0,0,0,0,0,Gorakhpur,0.48,0.5696202531645569,0.8043478260869565,0.5952283984589983
50 Ml Bar,4.0,150,34,0,1,0,0,1,0,Kanpur,0.6399999999999999,0.8227848101265822,0.8478260869565217,0.7389047881122729
50 Shades Of Food,3.6,100,44,0,0,1,0,0,0,Kolkata,0.48,0.8860759493670886,0.7934782608695652,0.6552586681342873
50+ Burger,3.4,150,43,0,0,0,0,0,0,Chennai,0.3999999999999999,0.8227848101265822,0.7989130434782609,0.6042308750687946
53 Cafe House,4.0,100,33,0,1,1,0,1,0,Patna,0.6399999999999999,0.8860759493670886,0.8532608695652174,0.7531934507429829
55 Bistro,4.0,150,33,0,1,0,0,1,0,Nellore,0.6399999999999999,0.8227848101265822,0.8532608695652174,0.7405352228948816
56 Rajwade Cafe & Restaurant,3.7,200,41,0,1,1,0,0,0,Jabalpur,0.52,0.759493670886076,0.8097826086956522,0.6548335167859108
6 Ballygunge Place,4.3,200,44,0,0,0,0,0,0,Kolkata,0.7599999999999998,0.759493670886076,0.7934782608695652,0.7699422124380847
6 Ballygunge Place Take Away,4.4,50,26,0,0,0,0,0,0,Kolkata,0.8,0.9493670886075949,0.8913043478260869,0.8572647220693451
6 Ballygunge Place Takeaway,4.2,100,45,0,1,0,0,0,0,Kolkata,0.72,0.8860759493670886,0.7880434782608696,0.7736282333516786
6 Ballygunge Place Thali,4.2,150,51,0,0,1,0,0,0,Kolkata,0.72,0.8227848101265822,0.7554347826086957,0.7511873968079251
6 One Restaurant,4.0,200,38,0,1,0,0,0,0,Darbhanga,0.6399999999999999,0.759493670886076,0.8260869565217391,0.7197248211337369
60 ML,3.8,150,39,0,1,0,0,1,0,Indore,0.5599999999999998,0.8227848101265822,0.8206521739130435,0.6907526141992294
65 Corner Fast Food,4.1,150,32,0,0,0,0,0,0,Hyderabad,0.6799999999999997,0.8227848101265822,0.8586956521739131,0.7621656576774902
666 Cafe,3.3,250,33,0,0,0,0,0,0,Jalandhar,0.3599999999999999,0.6962025316455696,0.8532608695652174,0.575218767198679
7 Art's Of Swad,4.0,250,21,0,1,0,1,0,0,Bhavnagar,0.6399999999999999,0.6962025316455696,0.9184782608695652,0.7347839845899834
7 Bakes,4.3,150,37,0,0,1,0,0,0,Mangalore,0.7599999999999998,0.8227848101265822,0.8315217391304348,0.7940134837644468
7 Cheese Pizza,4.1,200,38,0,0,1,0,0,0,Dehradun,0.6799999999999997,0.759493670886076,0.8260869565217391,0.7397248211337368
7 Coffee Beans,4.3,100,20,0,0,0,1,0,0,Guntur,0.7599999999999998,0.8860759493670886,0.9239130434782609,0.8343891029168959
7 Colour's Kabab Hut,4.0,250,26,0,1,0,0,1,0,Patna,0.6399999999999999,0.6962025316455696,0.8913043478260869,0.7266318106769399
7 Days,3.5,150,40,0,1,1,0,0,0,Patna,0.43999999999999995,0.8227848101265822,0.8152173913043479,0.6291221794166207
7 Days Pure Veg Restaurant,3.7,400,46,1,1,1,1,0,0,Nagpur,0.52,0.5063291139240507,0.782608695652174,0.5960484314804623
7 Degree Lounge,3.9,600,32,0,1,1,0,1,0,Kanpur,0.5999999999999999,0.2531645569620252,0.8586956521739131,0.6082416070445789
7 Eleven Fried Chicken,4.0,100,46,0,0,1,0,0,0,Trichy,0.6399999999999999,0.8860759493670886,0.782608695652174,0.7319977985690698
7 Heaven Restro,4.0,100,37,0,1,0,0,1,0,Allahabad,0.6399999999999999,0.8860759493670886,0.8315217391304348,0.7466717116125481
7 Sisters,4.1,300,51,0,0,0,0,0,0,Hyderabad,0.6799999999999997,0.6329113924050633,0.7554347826086957,0.6932127132636212
7 Spice,4.1,350,31,0,0,0,0,0,0,Mumbai,0.6799999999999997,0.5696202531645569,0.8641304347826086,0.7131631810676937
7 Spicery,4.0,150,38,0,1,0,0,0,0,Lucknow,0.6399999999999999,0.8227848101265822,0.8260869565217391,0.7323830489818381
7 Spices,4.1,150,24,0,1,0,0,1,0,Ajmer,0.6799999999999997,0.8227848101265822,0.9021739130434783,0.7752091359383597
7 Spices Restaurant,4.1,250,41,0,1,0,0,0,0,Kota,0.6799999999999997,0.6962025316455696,0.8097826086956522,0.7221752889378094
7 Star Dhaba,4.1,150,33,0,1,1,0,0,0,Ajmer,0.6799999999999997,0.8227848101265822,0.8532608695652174,0.7605352228948815
7/12 Fried Ice Cream,3.0,100,59,0,0,0,0,0,0,Kolkata,0.24,0.8860759493670886,0.7119565217391304,0.5108021463951569
7/12 Fried Ice Cream Parlour,3.0,100,61,0,0,1,0,0,0,Kolkata,0.24,0.8860759493670886,0.7010869565217391,0.5075412768299394
70 Percent Diet,4.4,150,37,0,0,0,0,0,0,Dehradun,0.8,0.8227848101265822,0.8315217391304348,0.8140134837644469
70 Percent Restro Cafe,4.3,250,42,0,1,1,1,0,0,Dehradun,0.7599999999999998,0.6962025316455696,0.8043478260869565,0.7605448541552008
78 Degrees Cafe & Restro,3.6,150,40,0,1,1,0,0,0,Bhopal,0.48,0.8227848101265822,0.8152173913043479,0.6491221794166208
78 Singh,3.9,200,29,0,1,1,1,0,0,Jaipur,0.5999999999999999,0.759493670886076,0.875,0.7143987341772152
786 Biryani,4.1,350,17,0,0,0,0,1,0,Vijayawada,0.6799999999999997,0.5696202531645569,0.9402173913043478,0.7359892680242155
786 Chicken & Biryani Center Chacha Ki Dukan,3.8,150,19,0,0,0,1,1,0,Raipur,0.5599999999999998,0.8227848101265822,0.9293478260869565,0.7233613098514033
7th Cloud Restaurant,4.2,300,45,0,1,1,0,1,0,Indore,0.72,0.6329113924050633,0.7880434782608696,0.7229953219592735
7th Heaven,3.3,100,25,0,0,1,0,0,1,Jalandhar,0.3599999999999999,0.8860759493670886,0.8967391304347826,0.6262369290038524
